OrderNumber;OrderDate;OrderType;CustomerType;CustomerName;CustomerState;ProductCategory;ProductNumber;ProductName;Quantity;Price;Discount;OrderTotal
1000001;Jan 1, 2020;Wholesale;Business;Tristan Henderson LLC;Tennessee;Rose;RS105;Portland Rose;11,00;$12,00;$2,40;$129,60
1000002;Jan 1, 2020;Retail;Individual;Emmanuel Garcia;Texas;Rose;RS101;Prickly Wild Rose;1,00;$9,99;$0,00;$9,99
1000003;Jan 1, 2020;Wholesale;Business;Christian Hughes Group;New York;Daisy;DS808;Pale Purple Coneflower;10,00;$34,99;$7,00;$342,90
1000004;Jan 1, 2020;Retail;Individual;Geoffrey Gonzalez;Massachusetts;Rose;RS502;Rosa Glauca;1,00;$24,95;$0,00;$24,95
1000005;Jan 1, 2020;Wholesale;Business;Eduardo Williams LLC;New York;Daisy;DS813;English Daisy;79,00;$29,99;$6,00;$2.363,21
1000006;Jan 1, 2020;Wholesale;Business;Ashley Martinez Industries;Pennsylvania;Rose;RS108;Panda Robot Blueprint;13,00;$7,99;$1,60;$102,27
1000007;Jan 1, 2020;Retail;Individual;Jonathan Henderson;Ohio;Rose;RS503;Multiflora Rose;1,00;$24,99;$0,00;$24,99
1000008;Jan 1, 2020;Retail;Individual;Irving Schmidt;Oregon;Rose;RS507;White Rose of York;1,00;$13,99;$0,00;$13,99
1000009;Jan 1, 2020;Retail;Individual;Jessica Wilson;Arizona;Daisy;DS803;Curly Leaf Daisy;1,00;$29,99;$0,00;$29,99
1000010;Jan 1, 2020;Retail;Individual;Bianca Lu;Pennsylvania;Rose;RS104;Beach Rose;1,00;$4,99;$0,00;$4,99
1000011;Jan 1, 2020;Wholesale;Business;Tristan Alexander LLC;South Carolina;Orchid;OC209;Lycaste Orchid;13,00;$179,00;$35,80;$2.291,20
1000012;Jan 1, 2020;Retail;Individual;Madalena Sanchez;Louisiana;Sunflower;SF703;Russian Mammoth;1,00;$549,00;$0,00;$549,00
1000013;Jan 1, 2020;Wholesale;Business;Antonio Bryant Inc.;New York;Daisy;DS811;Ox-Eye Daisy;49,00;$27,50;$5,50;$1.342,00
1000014;Jan 2, 2020;Wholesale;Business;Kimberly Stewart LLC;Texas;Orchid;OC603;Paphiopedlium Orchid;11,00;$189,00;$37,80;$2.041,20
1000015;Jan 2, 2020;Wholesale;Business;Ryan Perry LLC;Minnesota;Rose;RS104;Beach Rose;6,00;$4,99;$1,00;$28,94
1000016;Jan 2, 2020;Retail;Individual;Hailey Ward;Florida;Orchid;OC202;Catasetum Orchid;4,00;$58,95;$0,00;$235,80
1000017;Jan 2, 2020;Retail;Business;Ian Richardson Invisionaries;Minnesota;Sunflower;SF707;Italian White;3,00;$599,00;$0,00;$1.797,00
1000018;Jan 2, 2020;Retail;Individual;Raymond Malhotra;Massachusetts;Daisy;DS813;English Daisy;1,00;$29,99;$0,00;$29,99
1000019;Jan 2, 2020;Wholesale;Business;Alexis Coleman LLC;Idaho;Orchid;OC603;Paphiopedlium Orchid;10,00;$189,00;$37,80;$1.852,20
1000020;Jan 2, 2020;Wholesale;Business;Ryan Perry LLC;Minnesota;Sunflower;SF307;Moulin Rouge;5,00;$499,00;$99,80;$2.395,20
1000021;Jan 2, 2020;Wholesale;Business;Steve Wagner LLC;North Carolina;Sunflower;SF704;Giant Sungold;6,00;$699,00;$139,80;$4.054,20
1000022;Jan 2, 2020;Wholesale;Business;Brandon Kumar LLC;Kentucky;Rose;RS514;Grandiflora;9,00;$23,99;$4,80;$211,11
1000023;Jan 2, 2020;Wholesale;Business;Morgan Morris;Kansas;Orchid;OC607;Zygopetalum Orchid;10,00;$245,00;$49,00;$2.401,00
1000024;Jan 2, 2020;Retail;Individual;Charles Cook;Virginia;Orchid;OC209;Lycaste Orchid;1,00;$179,00;$0,00;$179,00
1000025;Jan 3, 2020;Wholesale;Business;Jaclyn Guo;Florida;Rose;RS521;Hybrid Musk;8,00;$19,50;$3,90;$152,10
1000026;Jan 3, 2020;Wholesale;Business;Marc Ruiz Group;Delaware;Rose;RS108;Panda Robot Blueprint;39,00;$7,99;$1,60;$310,01
1000027;Jan 3, 2020;Wholesale;Business;José Hernandez andSons;Washington;Sunflower;SF305;Ms. Mars;12,00;$455,00;$91,00;$5.369,00
1000028;Jan 3, 2020;Retail;Individual;Victoria Gonzales;California;Orchid;OC209;Lycaste Orchid;1,00;$179,00;$0,00;$179,00
1000029;Jan 3, 2020;Retail;Individual;Amanda Rivera;New Jersey;Daisy;DS811;Ox-Eye Daisy;1,00;$27,50;$0,00;$27,50
1000030;Jan 3, 2020;Retail;Individual;Katie Kumar;Florida;Rose;RS501;Prairie Rose;1,00;$23,99;$0,00;$23,99
1000031;Jan 3, 2020;Wholesale;Business;Colleen West Inc.;Minnesota;Rose;RS513;Tea Rose;10,00;$14,99;$3,00;$146,90
1000032;Jan 3, 2020;Retail;Individual;Ruth Gonzalez;Florida;Sunflower;SF703;Russian Mammoth;1,00;$549,00;$0,00;$549,00
1000033;Jan 3, 2020;Retail;Individual;Randy Xu;North Carolina;Rose;RS501;Prairie Rose;1,00;$23,99;$0,00;$23,99
1000034;Jan 3, 2020;Retail;Business;Jeremy Young LLC;Florida;Sunflower;SF303;Terracotta;1,00;$450,00;$0,00;$450,00
1000035;Jan 3, 2020;Wholesale;Business;Kimberly Rivera Inc.;New Hampshire;Rose;RS502;Rosa Glauca;39,00;$24,95;$4,99;$968,06
1000036;Jan 3, 2020;Retail;Individual;Caleb Zhang;Connecticut;Rose;RS518;Moss Rose;1,00;$14,99;$0,00;$14,99
1000037;Jan 3, 2020;Wholesale;Business;Nicholas Thompson Tech;Texas;Orchid;OC603;Paphiopedlium Orchid;49,00;$189,00;$37,80;$9.223,20
1000038;Jan 3, 2020;Retail;Individual;Maurice Shan;Iowa;Sunflower;SF305;Ms. Mars;3,00;$455,00;$0,00;$1.365,00
